"","shapeID","adm_pop"
"467","11073933B39232129235633",5346.02551400494
"468","11073933B40288189560521",24476.7499302006
"469","11073933B40426802957717",4968.74935300319
"470","11073933B40806707693338",46396.5446319691
"471","11073933B40975042441370",1324862.53730675
"472","11073933B41130432899827",53704.7434456365
"473","11073933B4130110162288",8910.03728592462
"474","11073933B42048972389032",6857.91986853002
"475","11073933B42236943021808",13208.5306557741
"476","11073933B4269401353762",29711.854242734
"477","11073933B43458511352591",21765.9405924808
"478","11073933B43481386883931",8129.69439130724
"479","11073933B43844677298342",6632.420945704
"480","11073933B44794067046829",3105.34766881522
"481","11073933B45110059970284",522.015590919337
"482","11073933B45347317573334",19152.8255953664
"483","11073933B45553057843407",11697.224278874
"484","11073933B46071388577265",31856.9914990195
"485","11073933B47482096079490",4981.89923934021
"486","11073933B48317710303310",8035.63333067865
"487","11073933B48870759480758",33025.4866700171
"488","11073933B49417906255075",5518.6824496509
"489","11073933B49799465441586",5135.34973237458
"490","11073933B49814837584896",11573.7392573067
"491","11073933B50314574405266",6923.45604383333
"492","11073933B50441520760810",6381.22007870767
"493","11073933B509028423034",2831.04886092834
"494","11073933B50920682654807",40171.9536100771
"495","11073933B51114321661895",17827.9226504738
"496","11073933B51329613848937",12836.2885256879
"497","11073933B5201066224586",28906.91627718
"498","11073933B52411235231",3164.51756735019
"499","11073933B52456190584513",60069.7056720563
"500","11073933B52536111444625",22931.2441719466
"501","11073933B52715817328443",20627.3022992932
"502","11073933B53214080350531",3033.45894251996
"503","11073933B53472032794885",18432.0370682407
"504","11073933B53770930635624",6502.9998253556
"505","11073933B54261639275121",26667.136659604
"506","11073933B54949392728040",10894.3780084954
"507","11073933B5498677004865",12401.1576415315
"508","11073933B55136165660104",10182.0209894003
"509","11073933B55288364449589",14759.9391232871
"510","11073933B55453577721373",24696.4214116563
"511","11073933B55534088027762",3030.08751976304
"512","11073933B55540143252946",22543.9257047064
"513","11073933B55627339304510",2798.41387432117
"514","11073933B55705336947998",10911.1478030603
"515","11073933B55826342844923",5316.07755123081
"516","11073933B55903085165304",23667.1213702612
"517","11073933B56127769073710",72469.1213129174
"518","11073933B56746381672176",21675.0714534748
"519","11073933B56765756601554",23240.2648144632
"520","11073933B56999945262295",17469.3433807919
"521","11073933B58208714394261",127955.472155216
"522","11073933B58325335592952",349764.552966921
"523","11073933B5834699421777",14819.653295848
"524","11073933B58570042014583",7986.0415780009
"525","11073933B59207772718756",45023.6084835284
"526","11073933B59585678475611",16027.6660824077
"527","11073933B59808423925546",10137.4146094007
"528","11073933B59856721575573",5356.75034355637
"529","11073933B60320132010156",497.678134399156
"530","11073933B60368557305260",2578.2016062736
"531","11073933B60993307230750",10065.5680130377
"532","11073933B61323488009029",25754.8588901028
"533","11073933B61582117082134",14569.9882705515
"534","11073933B61592119632414",16251.579573115
"535","11073933B62018568648289",21830.6751534787
"536","11073933B62699921856509",6250.25080476617
"537","11073933B62701501875096",19057.6280064484
"538","11073933B62798843738598",6198.80805791579
"539","11073933B63190625284601",5797.54482917605
"540","11073933B6347239980082",22224.0506384403
"541","11073933B63991002149277",13706.3078999473
"542","11073933B64159824060759",12292.2086464787
"543","11073933B66006739219622",6229.16901220779
"544","11073933B66669987345293",13021.6773452798
"545","11073933B6730003904644",9092.11237556369
"546","11073933B67559824737368",8597.99789017928
"547","11073933B67826388916784",5256.20824734319
"548","11073933B67840540157220",12892.7583758479
"549","11073933B67898738786171",10049.1253741704
"550","11073933B68259739538921",16626.9304481694
"551","11073933B68692797246148",2687.31690803794
"552","11073933B68733286345335",25392.3810620185
"553","11073933B690803490701",8343.4741201178
"554","11073933B69228014534523",48257.3273132242
"555","11073933B69689638973451",3772.40054098556
"556","11073933B69702141153845",18960.0925396368
"557","11073933B69713463902339",14970.8074799194
"558","11073933B6991997827302",15303.3239496677
"559","11073933B70457194398798",78456.1621560524
"560","11073933B70573082348436",2025.05499963081
"561","11073933B70928073521326",1277.81901651504
"562","11073933B71074433768762",4269.95461662747
"563","11073933B71415487673497",7003.92422972719
"564","11073933B7205053971020",3629.90278669159
"565","11073933B72182391378064",13451.3493623646
"566","11073933B72875884005592",20399.6873742124
"567","11073933B73043709419513",33521.8276799546
"568","11073933B73071669758456",9824.04540189949
"569","11073933B7359866387306",65622.7444242493
"570","11073933B74242079293836",6486.470806895
"571","11073933B74473717549692",129089.140979417
"572","11073933B74813799456856",60762.8600486699
"573","11073933B75633273437265",9919.53726496107
"574","11073933B76016755133554",9510.97644786927
"575","11073933B76075900542110",21586.7840400438
"576","11073933B76339092886878",6635.45515878258
"577","11073933B76490291231695",5366.92522262425
"578","11073933B76671146783782",9705.66411076042
"579","11073933B76955204071554",2176.7986739391
"580","11073933B76991292071364",5788.96073874487
"581","11073933B77394533182871",27511.1606061874
"582","11073933B77595570161149",40784.5903283244
"583","11073933B77666898020409",16260.8540611466
"584","11073933B78140719028453",6332.84897265773
"585","11073933B78576273925436",16996.2938135539
"586","11073933B7885609838532",18685.1724808336
"587","11073933B78875601583744",15056.4273639376
"588","11073933B79104161261823",21698.9275955957
"589","11073933B79499040357132",2818.86634503233
"590","11073933B79954965382683",9274.25177739243
"591","11073933B80122271510723",7579.2038327999
"592","11073933B80123778719117",6964.99681874743
"593","11073933B80910522444836",4116.95948883266
"594","11073933B80987209118171",31777.8714611819
"595","11073933B81612933082159",4523.39586053918
"596","11073933B81614249704063",1303.7599093318
