"","ADM2_id","exposure_days","total_population","region","person_day_exposure","pop_wt_grdi","country"
"2700","81297802B35079403712963",1,111104.658523779,"Western Pacific",111104.658523779,55.8413384947388,"Viet Nam"
"2701","81297802B35519691635120",1,26720.0895785797,"Western Pacific",26720.0895785797,29.8861467987168,"Viet Nam"
"2702","81297802B36566531846362",1,68123.1981608961,"Western Pacific",68123.1981608961,32.4222878129888,"Viet Nam"
"2703","81297802B36883846114124",1,49737.8729338905,"Western Pacific",49737.8729338905,53.0731672483649,"Viet Nam"
"2704","81297802B3696641207460",1,129742.773508805,"Western Pacific",129742.773508805,29.7941865201108,"Viet Nam"
"2705","81297802B37110717960369",1,162253.073277679,"Western Pacific",162253.073277679,11.3912608615394,"Viet Nam"
"2706","81297802B37279419107484",1,121822.354166844,"Western Pacific",121822.354166844,19.1317453634662,"Viet Nam"
"2707","81297802B37600217906847",1,151438.608265872,"Western Pacific",151438.608265872,49.0000272465087,"Viet Nam"
"2708","81297802B38321972927223",1,200156.035939607,"Western Pacific",200156.035939607,53.1994559635563,"Viet Nam"
"2709","81297802B38356347526872",1,139579.422777658,"Western Pacific",139579.422777658,19.1598715750306,"Viet Nam"
"2710","81297802B3855346019179",1,147542.395253168,"Western Pacific",147542.395253168,28.5214872104126,"Viet Nam"
"2711","81297802B38910067880652",1,160874.140886074,"Western Pacific",160874.140886074,39.2865238357806,"Viet Nam"
"2712","81297802B3900213451305",1,45469.158781395,"Western Pacific",45469.158781395,58.8778539829256,"Viet Nam"
"2713","81297802B3906213091507",1,225427.239001389,"Western Pacific",225427.239001389,13.0836820588437,"Viet Nam"
"2714","81297802B40107493867560",1,119831.197384906,"Western Pacific",119831.197384906,60.056037684985,"Viet Nam"
"2715","81297802B40676303665635",1,223209.542208963,"Western Pacific",223209.542208963,32.8089321400289,"Viet Nam"
"2716","81297802B40785510400399",1,81231.1956164485,"Western Pacific",81231.1956164485,41.165061030054,"Viet Nam"
"2717","81297802B41242908240864",1,48004.1719174617,"Western Pacific",48004.1719174617,42.5869749746405,"Viet Nam"
"2718","81297802B41330613652559",1,190693.58424468,"Western Pacific",190693.58424468,26.0438778499937,"Viet Nam"
"2719","81297802B41688796411548",1,116119.680956915,"Western Pacific",116119.680956915,21.732967983124,"Viet Nam"
"2720","81297802B42641748496229",1,107640.798129191,"Western Pacific",107640.798129191,25.0966207456471,"Viet Nam"
"2721","81297802B42689754920120",1,105137.142622883,"Western Pacific",105137.142622883,37.7065006230941,"Viet Nam"
"2722","81297802B42785936874032",1,267665.571656554,"Western Pacific",267665.571656554,40.2626179947264,"Viet Nam"
"2723","81297802B42791937018990",1,26838.0198812844,"Western Pacific",26838.0198812844,59.4566343051365,"Viet Nam"
"2724","81297802B4294080644708",1,184999.672123833,"Western Pacific",184999.672123833,38.42685165287,"Viet Nam"
"2725","81297802B43083568307928",1,44149.7375031476,"Western Pacific",44149.7375031476,60.4374542276088,"Viet Nam"
"2726","81297802B43105107768719",1,299850.849288655,"Western Pacific",299850.849288655,20.7394052888537,"Viet Nam"
"2727","81297802B43584820413656",1,81842.2461293312,"Western Pacific",81842.2461293312,51.4844939094926,"Viet Nam"
"2728","81297802B43959874007568",1,65191.372982651,"Western Pacific",65191.372982651,52.9232829673091,"Viet Nam"
"2729","81297802B44532488811780",1,59167.633239876,"Western Pacific",59167.633239876,50.1466315741325,"Viet Nam"
"2730","81297802B4597997720172",1,57079.6232102433,"Western Pacific",57079.6232102433,34.4191266717042,"Viet Nam"
"2731","81297802B46332855119377",1,27372.6069124849,"Western Pacific",27372.6069124849,43.8242508754895,"Viet Nam"
"2732","81297802B46816941364430",1,107286.442585415,"Western Pacific",107286.442585415,43.2216979918909,"Viet Nam"
"2733","81297802B46977673973725",1,336768.340733301,"Western Pacific",336768.340733301,12.633587567055,"Viet Nam"
"2734","81297802B47439602304770",1,125089.400502429,"Western Pacific",125089.400502429,26.6837108543996,"Viet Nam"
"2735","81297802B47590181438391",1,177811.334069473,"Western Pacific",177811.334069473,38.787250673322,"Viet Nam"
"2736","81297802B47675849617506",1,119451.600851874,"Western Pacific",119451.600851874,42.9342910196385,"Viet Nam"
"2737","81297802B47692200365960",1,152181.481429791,"Western Pacific",152181.481429791,38.5712420647001,"Viet Nam"
"2738","81297802B47963627673209",1,137719.361862906,"Western Pacific",137719.361862906,42.4252186828355,"Viet Nam"
"2739","81297802B48396752750587",1,191114.762438063,"Western Pacific",191114.762438063,14.3246388450212,"Viet Nam"
"2740","81297802B48433290328639",1,260502.990984955,"Western Pacific",260502.990984955,24.3525735114392,"Viet Nam"
"2741","81297802B48632704069528",1,185416.06206944,"Western Pacific",185416.06206944,36.7223460053145,"Viet Nam"
"2742","81297802B51483513425235",1,198283.200770019,"Western Pacific",198283.200770019,26.5641140031441,"Viet Nam"
"2743","81297802B52142956360096",1,40202.957171821,"Western Pacific",40202.957171821,55.2624353055814,"Viet Nam"
"2744","81297802B5241398972305",1,335557.387107341,"Western Pacific",335557.387107341,18.8518514309416,"Viet Nam"
"2745","81297802B53592665760601",2,54723.6459199868,"Western Pacific",109447.291839974,30.3848581544697,"Viet Nam"
"2746","81297802B53696601888295",2,38611.7386766251,"Western Pacific",77223.4773532502,40.1117460031272,"Viet Nam"
"2747","81297802B53771614429572",1,98594.4959477618,"Western Pacific",98594.4959477618,34.9402898959864,"Viet Nam"
"2748","81297802B54089788823696",1,251912.174173644,"Western Pacific",251912.174173644,13.4618108125187,"Viet Nam"
"2749","81297802B54863694878388",1,50715.3721759017,"Western Pacific",50715.3721759017,57.2729230196952,"Viet Nam"
"2750","81297802B55237865359696",1,57553.3740086439,"Western Pacific",57553.3740086439,19.3149076552035,"Viet Nam"
"2751","81297802B55266176914642",1,191709.466132335,"Western Pacific",191709.466132335,39.9113542683382,"Viet Nam"
"2752","81297802B55451481919262",1,72899.1500386038,"Western Pacific",72899.1500386038,57.1406150523482,"Viet Nam"
"2753","81297802B55456276640785",1,76742.0826341197,"Western Pacific",76742.0826341197,25.1159122164118,"Viet Nam"
"2754","81297802B55629975533372",1,209491.169085312,"Western Pacific",209491.169085312,49.5349651438998,"Viet Nam"
"2755","81297802B55928452292311",1,166748.492531142,"Western Pacific",166748.492531142,35.4533900401982,"Viet Nam"
"2756","81297802B55955468315553",1,96238.8805615956,"Western Pacific",96238.8805615956,15.3045759461316,"Viet Nam"
"2757","81297802B5641238333098",2,184775.467972194,"Western Pacific",369550.935944388,14.8004437737211,"Viet Nam"
